Fecha,Indice general,Alimentos y bebidad,Vivienda,Educación,Transporte
01/12/1974,0.020553000000,N/E,N/E,N/E,N/E
01/01/1975,0.020816000000,N/E,N/E,N/E,N/E
01/02/1975,0.020931000000,N/E,N/E,N/E,N/E
01/03/1975,0.021063000000,N/E,N/E,N/E,N/E
01/04/1975,0.021241000000,N/E,N/E,N/E,N/E
01/05/1975,0.021525000000,N/E,N/E,N/E,N/E
01/06/1975,0.021891000000,N/E,N/E,N/E,N/E
01/07/1975,0.022066000000,N/E,N/E,N/E,N/E
01/08/1975,0.022257000000,N/E,N/E,N/E,N/E
01/09/1975,0.022419000000,N/E,N/E,N/E,N/E
01/10/1975,0.022534000000,N/E,N/E,N/E,N/E
01/11/1975,0.022692000000,N/E,N/E,N/E,N/E
01/12/1975,0.022877000000,N/E,N/E,N/E,N/E
01/01/1976,0.023319000000,N/E,N/E,N/E,N/E
01/02/1976,0.023755000000,N/E,N/E,N/E,N/E
01/03/1976,0.023988000000,N/E,N/E,N/E,N/E
01/04/1976,0.024156000000,N/E,N/E,N/E,N/E
01/05/1976,0.024325000000,N/E,N/E,N/E,N/E
01/06/1976,0.024423000000,N/E,N/E,N/E,N/E
01/07/1976,0.024629000000,N/E,N/E,N/E,N/E
01/08/1976,0.024865000000,N/E,N/E,N/E,N/E
01/09/1976,0.025713000000,N/E,N/E,N/E,N/E
01/10/1976,0.027161000000,N/E,N/E,N/E,N/E
01/11/1976,0.028388000000,N/E,N/E,N/E,N/E
01/12/1976,0.029100000000,N/E,N/E,N/E,N/E
01/01/1977,0.030027000000,N/E,N/E,N/E,N/E
01/02/1977,0.030690000000,N/E,N/E,N/E,N/E
01/03/1977,0.031225000000,N/E,N/E,N/E,N/E
01/04/1977,0.031697000000,N/E,N/E,N/E,N/E
01/05/1977,0.031976000000,N/E,N/E,N/E,N/E
01/06/1977,0.032368000000,N/E,N/E,N/E,N/E
01/07/1977,0.032734000000,N/E,N/E,N/E,N/E
01/08/1977,0.033405000000,N/E,N/E,N/E,N/E
01/09/1977,0.033998000000,N/E,N/E,N/E,N/E
01/10/1977,0.034258000000,N/E,N/E,N/E,N/E
01/11/1977,0.034632000000,N/E,N/E,N/E,N/E
01/12/1977,0.035112000000,N/E,N/E,N/E,N/E
01/01/1978,0.035892000000,N/E,N/E,N/E,N/E
01/02/1978,0.036408000000,N/E,N/E,N/E,N/E
01/03/1978,0.036787000000,N/E,N/E,N/E,N/E
01/04/1978,0.037196000000,N/E,N/E,N/E,N/E
01/05/1978,0.037560000000,N/E,N/E,N/E,N/E
01/06/1978,0.038077000000,N/E,N/E,N/E,N/E
01/07/1978,0.038723000000,N/E,N/E,N/E,N/E
